iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,t_opt,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
84,2.2269084453582764,-3321.47330964778,3.686566043184154,-3312.2681235011023,-3327.2436354364936,3.3090343475341797,0.0046078735,0.0010375687,-3321.669521389052,12000,0.9278707504272461,2.71409298737394e-06,2.6232455065214435e-06
85,2.2671890258789062,-3320.9967484941367,3.509221158152824,-3314.086899536101,-3328.992176187324,3.2532105445861816,0.0027059594,0.0008027051,-3321.6022440995603,12000,0.9114692211151123,2.520159171250167e-06,2.8122877960454234e-06
86,2.221487283706665,-3320.677727103667,3.6512648756866426,-3311.8355785411227,-3327.898794657755,3.409409999847412,0.0021077702,0.00072302466,-3321.509792399971,12000,0.8801059722900391,2.867003843489031e-06,2.9162946587858804e-06
87,2.222963571548462,-3321.437562840134,3.485608614002857,-3313.9230388603632,-3330.1599644296666,3.143555164337158,0.0045915106,0.0017815313,-3321.5025694439873,12000,0.9248161315917969,2.583031484110877e-06,2.933729538323352e-06
88,2.255042552947998,-3320.8427385770046,3.0942219333304677,-3312.206989492885,-3327.4091421681183,3.192631721496582,0.0025843738,0.002555832,-3321.4365863572893,12000,0.8494343757629395,3.0623542943031693e-06,2.187323979942803e-06
89,2.198366165161133,-3320.50345601423,3.6239472733364444,-3311.0252682057294,-3328.50807146013,3.2048721313476562,0.0034491217,0.001076708,-3321.3432733229834,12000,0.848740816116333,2.531037950862219e-06,2.880671583299397e-06
90,2.2621333599090576,-3319.9251514364055,3.680084894478859,-3311.055885259837,-3330.153320959567,3.2759742736816406,0.0014933208,0.00028800074,-3321.2014611343257,12000,0.9350104331970215,2.8580593928597366e-06,3.804300447016816e-06
91,2.232245922088623,-3321.2402735073288,3.653804121480141,-3312.249771960742,-3329.4796763088016,3.2845592498779297,0.0037922382,0.0022019958,-3321.205342371626,12000,0.9810130596160889,3.2308709231470817e-06,2.2894821901645046e-06
92,2.221179246902466,-3321.7024764511925,3.5369376602904117,-3313.4528880343614,-3329.180069971175,3.2743048667907715,0.0040755626,0.0019305709,-3321.2550557795826,12000,0.9545567035675049,2.3200519433466324e-06,2.9734617164195545e-06
93,2.21663236618042,-3320.5308211185024,3.3588958183667734,-3313.47749512471,-3327.368757182824,3.3247530460357666,0.005675359,0.0027005607,-3321.1826323134746,12000,0.9227275848388672,3.78080561407084e-06,2.139701844208345e-06
94,2.172123670578003,-3320.8310991749727,3.363395774609238,-3313.098417687382,-3327.4973065834292,3.2329561710357666,0.003356129,0.0006165984,-3321.1474789996246,12000,0.9906270503997803,2.1133312141254846e-06,2.107882506479397e-06
95,2.2141764163970947,-3321.398034189729,3.2415440401383884,-3314.736998377349,-3329.217850981319,3.270688533782959,0.0031327591,0.002557577,-3321.172534518635,12000,1.0053062438964844,2.2855032265893897e-06,2.2279732625758883e-06
96,2.204995632171631,-3320.2704963389438,3.7174120701096847,-3312.6863972886445,-3327.6455142729546,3.294339895248413,0.0031376905,0.0005521504,-3321.0823307006663,12000,1.0333714485168457,2.669859530212538e-06,2.6455857274266265e-06
97,2.2649238109588623,-3320.694825309533,3.4103663067641503,-3314.0746326547555,-3329.1224260904482,3.351806163787842,0.00694947,0.002272135,-3321.043580161553,12000,1.047257900238037,2.3530823186334654e-06,4.088312783608087e-06
98,2.2446725368499756,-3321.802195918399,3.393011734291372,-3314.440297163322,-3329.194631569664,3.242600440979004,0.004941348,0.0021930542,-3321.1194417372376,12000,1.0219252109527588,3.4838070665877223e-06,2.5015304471795914e-06
99,2.167285203933716,-3320.7244070126158,3.6519341439727575,-3313.438455240508,-3329.889320841571,3.2904818058013916,0.0029950421,0.0005821959,-3321.0799382647756,12000,0.870410680770874,2.8940370237292144e-06,4.220139525952015e-06
100,2.2630624771118164,-3320.407678274041,3.196037927622899,-3311.6144579316015,-3328.337291106772,3.268139123916626,0.0037748776,0.00079502136,-3321.0127122657022,12000,0.9063496589660645,4.244604044935285e-06,3.184984846197057e-06
